Price;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 90;Availability 365;Room_type_Private room;Room_type_Shared room;Bed_type_Airbed;Bed_type_Couch;Bed_type_Futon;Bed_type_Pull-out Sofa;Bed_type_Real Bed
22.0;1.0;2;1.0;1.0;1.0;1;8;2;1125;4;4;1;0;0;0;0;0;1
45.0;1.0;2;1.5;1.0;1.0;1;10;1;15;20;295;1;0;0;0;0;0;1
179.0;207.0;8;2.0;3.0;6.0;4;12;2;1125;49;196;0;0;0;0;0;0;1
25.0;1.0;1;1.0;1.0;1.0;1;0;1;4;71;346;1;0;0;0;0;0;1
42.0;4.0;2;1.0;1.0;1.0;1;0;1;1125;31;161;1;0;0;0;0;0;1
50.0;1.0;2;1.5;1.0;2.0;1;0;2;1125;89;364;1;0;0;0;0;0;1
53.0;1.0;4;1.0;1.0;1.0;2;15;1;1125;40;136;0;0;0;0;0;0;1
55.0;1.0;1;2.0;1.0;1.0;1;0;1;1125;0;0;1;0;0;0;0;0;1
42.0;1.0;3;1.0;1.0;2.0;2;15;5;200;17;208;0;0;0;0;0;0;1
90.0;1.0;2;1.0;1.0;1.0;1;0;2;7;27;27;1;0;0;0;0;0;1
82.0;18.0;4;1.0;1.0;1.0;2;10;3;1125;48;320;0;0;0;0;0;0;1
47.0;4.0;4;1.0;1.0;2.0;2;15;2;30;57;144;0;0;0;0;0;0;1
49.0;57.0;4;1.0;1.0;1.0;1;15;1;28;63;153;0;0;0;0;0;0;1
95.0;1.0;2;2.0;1.0;1.0;1;0;1;1125;0;0;1;0;0;0;0;0;1
120.0;4.0;8;2.0;3.0;3.0;1;15;1;730;2;277;0;0;0;0;0;0;1
150.0;1.0;3;1.0;1.0;1.0;1;0;20;1125;90;365;0;0;0;0;0;0;1
29.0;1.0;2;2.0;1.0;2.0;2;0;1;21;51;323;1;0;0;0;0;0;1
35.0;1.0;2;1.0;1.0;1.0;1;0;1;1125;0;0;1;0;0;0;0;0;1
68.0;1.0;4;1.0;1.0;2.0;2;15;2;1125;67;148;0;0;0;0;0;0;1
60.0;1.0;3;1.0;1.0;2.0;1;0;7;1125;22;297;0;0;0;0;0;0;1
45.0;1.0;2;1.0;1.0;1.0;1;0;2;1125;34;309;0;0;0;0;0;0;1
18.0;1.0;2;2.0;1.0;1.0;2;5;2;15;49;50;1;0;0;0;0;0;1
40.0;3.0;1;1.0;1.0;1.0;1;0;2;1125;77;167;1;0;0;0;0;0;1
32.0;38.0;1;2.0;1.0;1.0;1;0;7;1125;67;342;1;0;0;0;0;0;1
75.0;12.0;4;1.0;2.0;2.0;1;0;2;1125;42;101;0;0;0;0;0;0;1
40.0;1.0;2;1.0;1.0;2.0;1;0;1;1125;0;0;1;0;0;0;0;0;1
37.0;26.0;1;3.0;1.0;1.0;1;0;7;1125;6;281;1;0;0;0;0;0;1
69.0;1.0;4;1.0;1.0;2.0;1;0;2;1125;5;5;0;0;0;0;0;0;1
25.0;114.0;2;2.0;1.0;1.0;1;5;10;1125;36;311;1;0;0;0;0;0;1
30.0;1.0;2;1.0;1.0;1.0;1;10;1;1125;68;326;1;0;0;0;0;0;1
59.0;57.0;3;1.0;0.0;1.0;1;10;1;30;16;44;0;0;0;0;0;0;1
