Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 90;Availability 365;Room_type_Private room;Room_type_Shared room;Bed_type_Airbed;Bed_type_Couch;Bed_type_Futon;Bed_type_Pull-out Sofa;Bed_type_Real Bed
1.0;2;1.0;1.0;1.0;22.0;1;8;2;1125;4;4;1;0;0;0;0;0;1
1.0;2;1.5;1.0;1.0;45.0;1;10;1;15;20;295;1;0;0;0;0;0;1
207.0;8;2.0;3.0;6.0;179.0;4;12;2;1125;49;196;0;0;0;0;0;0;1
1.0;1;1.0;1.0;1.0;25.0;1;0;1;4;71;346;1;0;0;0;0;0;1
4.0;2;1.0;1.0;1.0;42.0;1;0;1;1125;31;161;1;0;0;0;0;0;1
1.0;2;1.5;1.0;2.0;50.0;1;0;2;1125;89;364;1;0;0;0;0;0;1
1.0;4;1.0;1.0;1.0;53.0;2;15;1;1125;40;136;0;0;0;0;0;0;1
1.0;1;2.0;1.0;1.0;55.0;1;0;1;1125;0;0;1;0;0;0;0;0;1
1.0;3;1.0;1.0;2.0;42.0;2;15;5;200;17;208;0;0;0;0;0;0;1
1.0;2;1.0;1.0;1.0;90.0;1;0;2;7;27;27;1;0;0;0;0;0;1
18.0;4;1.0;1.0;1.0;82.0;2;10;3;1125;48;320;0;0;0;0;0;0;1
4.0;4;1.0;1.0;2.0;47.0;2;15;2;30;57;144;0;0;0;0;0;0;1
57.0;4;1.0;1.0;1.0;49.0;1;15;1;28;63;153;0;0;0;0;0;0;1
1.0;2;2.0;1.0;1.0;95.0;1;0;1;1125;0;0;1;0;0;0;0;0;1
4.0;8;2.0;3.0;3.0;120.0;1;15;1;730;2;277;0;0;0;0;0;0;1
1.0;3;1.0;1.0;1.0;150.0;1;0;20;1125;90;365;0;0;0;0;0;0;1
1.0;2;2.0;1.0;2.0;29.0;2;0;1;21;51;323;1;0;0;0;0;0;1
1.0;2;1.0;1.0;1.0;35.0;1;0;1;1125;0;0;1;0;0;0;0;0;1
1.0;4;1.0;1.0;2.0;68.0;2;15;2;1125;67;148;0;0;0;0;0;0;1
1.0;3;1.0;1.0;2.0;60.0;1;0;7;1125;22;297;0;0;0;0;0;0;1
